t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1785821853.448,0.000,WAIT,idle,4,0,0.005,-0.003,0.001,0.005,0.003,-0.001,1.5482
1785821853.548,0.000,WAIT,idle,4,0,0.005,-0.003,0.001,0.007,0.003,-0.002,1.5483
1785821853.648,0.000,WAIT,idle,4,0,0.006,-0.003,0.001,0.007,0.002,-0.001,1.5483
1785821853.748,0.000,WAIT,idle,4,0,0.006,-0.003,0.001,0.009,0.001,0.001,1.5483
1785821853.848,0.000,WAIT,idle,4,0,0.006,-0.003,0.002,0.009,0.001,0.001,1.5483
1785821853.948,0.000,WAIT,idle,4,0,0.006,-0.003,0.002,0.008,0.000,0.003,1.5486
1785821854.048,0.000,WAIT,idle,4,0,0.007,-0.003,0.003,0.010,-0.001,0.005,1.5489
1785821854.148,0.000,WAIT,idle,4,0,0.008,-0.003,0.003,0.008,-0.002,0.004,1.5492
1785821854.248,0.000,WAIT,idle,4,0,0.008,-0.003,0.004,0.007,0.001,0.002,1.5492
1785821854.348,0.000,WAIT,idle,4,0,0.008,-0.003,0.004,0.005,-0.001,0.004,1.5492
1785821854.448,0.000,WAIT,idle,4,0,0.008,-0.003,0.005,0.005,-0.002,0.005,1.5491
1785821854.548,0.000,WAIT,idle,4,0,0.007,-0.003,0.005,0.003,0.001,0.006,1.5492
1785821854.648,0.000,WAIT,idle,4,0,0.006,-0.002,0.006,0.001,0.003,0.006,1.5492
1785821854.748,0.000,WAIT,idle,4,0,0.006,-0.002,0.008,0.002,0.004,0.005,1.5492
1785821854.848,0.000,WAIT,idle,4,0,0.006,-0.001,0.008,0.001,0.006,0.006,1.5493
1785821854.948,0.000,WAIT,idle,4,0,0.006,-0.001,0.009,-0.001,0.005,0.005,1.5493
1785821855.048,0.000,WAIT,idle,4,0,0.005,-0.000,0.010,-0.002,0.008,0.006,1.5491
1785821855.148,0.000,WAIT,idle,4,0,0.004,0.000,0.010,-0.005,0.007,0.008,1.5490
1785821855.248,0.000,WAIT,idle,4,0,0.004,0.001,0.010,-0.005,0.007,0.009,1.5490
1785821855.348,0.000,WAIT,idle,4,0,0.003,0.001,0.011,-0.006,0.007,0.009,1.5491
1785821855.448,0.000,WAIT,idle,4,0,0.003,0.001,0.011,-0.005,0.008,0.010,1.5490
1785821855.548,0.000,WAIT,idle,4,0,0.002,0.001,0.011,-0.006,0.008,0.007,1.5489
1785821855.648,0.000,WAIT,idle,4,0,0.003,0.001,0.011,-0.002,0.006,0.008,1.5491
1785821855.748,0.000,WAIT,idle,4,0,0.003,0.001,0.011,-0.001,0.006,0.007,1.5492
1785821855.848,0.000,WAIT,idle,4,0,0.004,0.001,0.011,0.000,0.008,0.005,1.5492
1785821855.948,0.000,WAIT,idle,4,0,0.005,0.002,0.010,0.001,0.010,0.004,1.5491
1785821856.048,0.000,WAIT,idle,2,0,0.005,0.003,0.009,0.001,0.011,0.004,1.5491
1785821856.148,0.000,WAIT,idle,2,0,0.005,0.004,0.009,0.001,0.013,0.006,1.5489
1785821856.248,0.000,WAIT,idle,2,0,0.005,0.004,0.008,0.000,0.012,0.004,1.5486
1785821856.348,0.000,WAIT,idle,2,0,0.004,0.005,0.007,-0.000,0.012,0.002,1.5484
1785821856.448,0.000,WAIT,idle,2,0,0.005,0.005,0.006,0.001,0.012,0.003,1.5481
1785821856.548,0.000,WAIT,idle,2,0,0.005,0.006,0.006,0.001,0.011,0.002,1.5482
1785821856.648,0.000,WAIT,idle,2,0,0.005,0.006,0.005,0.002,0.012,0.002,1.5483
1785821856.748,0.000,WAIT,idle,2,0,0.005,0.006,0.005,0.004,0.011,0.002,1.5484
1785821856.848,0.000,WAIT,idle,2,0,0.005,0.007,0.005,0.003,0.012,0.003,1.5486
1785821856.948,0.000,WAIT,idle,2,0,0.005,0.007,0.004,0.005,0.010,0.002,1.5488
1785821857.048,0.000,WAIT,idle,2,0,0.005,0.006,0.004,0.002,0.008,0.001,1.5488
1785821857.148,0.000,WAIT,idle,2,0,0.004,0.006,0.003,0.002,0.004,-0.002,1.5488
1785821857.248,0.000,WAIT,idle,2,0,0.004,0.004,0.002,0.002,0.001,-0.003,1.5490
1785821857.348,0.000,WAIT,idle,2,0,0.003,0.003,0.001,-0.000,-0.001,-0.001,1.5491
1785821857.448,0.000,WAIT,idle,2,0,0.003,0.002,0.001,-0.003,-0.003,-0.004,1.5492
1785821857.548,0.000,WAIT,idle,2,0,0.002,0.002,0.001,-0.005,-0.001,-0.001,1.5491
1785821857.648,0.000,WAIT,idle,2,0,0.002,0.001,0.001,-0.004,-0.000,-0.002,1.5490
1785821857.748,0.000,WAIT,idle,2,0,0.002,0.001,0.001,-0.003,-0.000,-0.001,1.5491
1785821857.848,0.000,WAIT,idle,2,0,0.003,0.001,0.001,-0.003,0.002,-0.001,1.5490
1785821857.948,0.000,WAIT,idle,2,0,0.003,0.002,0.001,-0.003,0.004,-0.001,1.5492
1785821858.048,0.000,WAIT,idle,2,0,0.003,0.002,0.001,-0.004,0.007,-0.001,1.5496
1785821858.148,0.000,WAIT,idle,2,0,0.003,0.003,0.001,-0.005,0.010,0.001,1.5496
