====================================================================================================
 시간창 grid: 영역별 gyro/vel NIS (clean/바람만/겹침/공격만) — track
====================================================================================================
      pat  ws     δ | clean_g   바람_g   겹침_g   공격_g |   바람_v   겹침_v |   생존
 waypoint   8  0.75 |    0.30   0.66   3.00   3.00 |   0.49   1.30 | 0.50
 waypoint   8  0.80 |    0.30   0.69   2.85    nan |   0.52   0.85 | 0.00
 waypoint  10  0.40 |    0.29   0.92   2.66   2.61 |   0.68   1.25 | 1.00
 waypoint  10  0.60 |    0.30   0.76   3.00    nan |   0.64   1.26 | 0.00
 waypoint  10  0.75 |    0.30   0.86   2.77    nan |   0.69   0.95 | 0.00
 waypoint  10  0.80 |    0.30   0.72   2.84    nan |   0.65   1.18 | 0.00
 waypoint  12  0.40 |    0.30   1.29    nan    nan |   0.81    nan | 0.00
 waypoint  12  0.60 |    0.31   0.88   3.00   2.99 |   0.73   1.22 | 0.50
 waypoint  12  0.75 |    0.31   1.04   2.34    nan |   0.63   0.87 | 0.00
 waypoint  12  0.80 |    0.30   1.03   2.85    nan |   0.79   1.22 | 0.00
