t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786528214.098,0.000,WAIT,idle,-1,0,7.032,6.612,-3.828,-0.005,-0.180,0.029,0.7365
1786528214.197,0.000,WAIT,idle,2,1,7.036,6.601,-3.828,-0.060,-0.203,0.029,0.7401
1786528214.297,0.000,WAIT,idle,2,1,7.042,6.586,-3.828,-0.062,-0.222,0.029,0.7438
1786528214.397,0.000,WAIT,idle,2,1,7.044,6.570,-3.829,-0.029,-0.147,0.047,0.7446
1786528214.497,0.000,WAIT,idle,2,1,7.042,6.561,-3.829,-0.105,-0.207,0.037,0.7451
1786528214.597,0.000,WAIT,idle,2,1,7.041,6.546,-3.829,-0.056,-0.158,0.045,0.7438
1786528214.697,0.000,WAIT,idle,2,1,7.040,6.534,-3.828,-0.095,-0.183,0.043,0.7379
1786528214.797,0.000,WAIT,idle,2,1,7.038,6.523,-3.828,-0.094,-0.177,0.050,0.7305
1786528214.897,0.000,WAIT,idle,2,1,7.034,6.511,-3.826,-0.128,-0.183,0.048,0.7310
1786528214.997,0.000,WAIT,idle,2,1,7.033,6.501,-3.825,-0.142,-0.195,0.055,0.7353
1786528215.097,0.000,WAIT,idle,2,1,7.031,6.490,-3.824,-0.135,-0.187,0.014,0.7357
1786528215.197,0.000,WAIT,idle,2,1,7.027,6.477,-3.836,-0.130,-0.172,-0.162,0.7314
1786528215.297,0.000,WAIT,idle,2,1,7.020,6.464,-3.864,-0.141,-0.175,-0.314,0.7290
1786528215.397,0.000,WAIT,idle,2,1,7.010,6.450,-3.904,-0.134,-0.167,-0.391,0.7285
1786528215.497,0.000,WAIT,idle,2,1,7.002,6.436,-3.947,-0.125,-0.163,-0.390,0.7296
1786528215.597,0.000,WAIT,idle,2,1,6.996,6.422,-3.986,-0.148,-0.132,-0.329,0.7284
1786528215.697,0.000,WAIT,idle,2,1,6.987,6.408,-4.022,-0.129,-0.154,-0.252,0.7263
1786528215.798,0.000,WAIT,idle,2,1,6.982,6.396,-4.047,-0.114,-0.147,-0.192,0.7246
1786528215.897,0.000,WAIT,idle,2,1,6.980,6.382,-4.066,-0.132,-0.158,-0.182,0.7252
1786528215.997,0.000,WAIT,idle,2,1,6.978,6.370,-4.084,-0.096,-0.147,-0.189,0.7325
1786528216.097,0.000,WAIT,idle,2,1,6.978,6.354,-4.112,-0.081,-0.162,-0.223,0.7350
1786528216.197,0.000,WAIT,idle,2,1,6.979,6.339,-4.139,-0.111,-0.159,-0.251,0.7375
1786528216.297,0.000,WAIT,idle,2,1,6.976,6.324,-4.163,-0.102,-0.139,-0.254,0.7414
1786528216.397,0.000,WAIT,idle,2,1,6.972,6.310,-4.192,-0.126,-0.139,-0.232,0.7438
1786528216.497,0.000,WAIT,idle,2,1,6.971,6.300,-4.212,-0.091,-0.146,-0.171,0.7388
1786528216.597,0.000,WAIT,idle,2,1,6.969,6.287,-4.229,-0.127,-0.123,-0.100,0.7338
1786528216.697,0.000,WAIT,idle,2,1,6.966,6.276,-4.239,-0.092,-0.132,-0.095,0.7328
1786528216.797,0.000,WAIT,idle,2,1,6.963,6.263,-4.251,-0.105,-0.129,-0.118,0.7338
1786528216.897,0.000,WAIT,idle,2,1,6.960,6.250,-4.264,-0.143,-0.132,-0.081,0.7320
1786528216.997,0.000,WAIT,idle,2,1,6.952,6.237,-4.268,-0.137,-0.116,0.024,0.7321
1786528217.097,0.000,WAIT,idle,2,1,6.948,6.223,-4.266,-0.096,-0.125,0.031,0.7287
1786528217.197,0.000,WAIT,idle,2,1,6.943,6.208,-4.265,-0.153,-0.110,0.020,0.7271
1786528217.297,0.000,WAIT,idle,2,1,6.934,6.197,-4.264,-0.146,-0.098,0.022,0.7239
1786528217.397,0.000,WAIT,idle,2,1,6.926,6.183,-4.262,-0.156,-0.094,0.036,0.7171
1786528217.498,0.000,WAIT,idle,2,1,6.918,6.170,-4.257,-0.137,-0.078,0.066,0.7131
1786528217.597,0.000,WAIT,idle,2,1,6.909,6.158,-4.249,-0.131,-0.095,0.085,0.7142
1786528217.697,0.000,WAIT,idle,2,1,6.902,6.145,-4.241,-0.101,-0.039,0.091,0.7184
1786528217.797,0.000,WAIT,idle,2,1,6.894,6.136,-4.235,-0.109,-0.013,0.079,0.7211
1786528217.897,0.000,WAIT,idle,2,1,6.885,6.127,-4.229,-0.093,-0.005,0.068,0.7222
1786528217.997,0.000,WAIT,idle,2,1,6.878,6.117,-4.223,-0.092,-0.016,0.043,0.7233
1786528218.097,0.000,WAIT,idle,2,1,6.869,6.107,-4.219,-0.100,0.013,0.039,0.7245
1786528218.197,0.000,WAIT,idle,2,1,6.861,6.102,-4.216,-0.119,0.045,0.028,0.7252
1786528218.297,0.000,WAIT,idle,2,1,6.851,6.100,-4.214,-0.088,0.059,0.038,0.7240
1786528218.397,0.000,WAIT,idle,2,1,6.843,6.099,-4.210,-0.098,0.075,0.032,0.7227
1786528218.497,0.000,WAIT,idle,2,1,6.838,6.099,-4.207,-0.068,0.088,0.037,0.7224
1786528218.597,0.000,WAIT,idle,2,1,6.833,6.099,-4.203,-0.040,0.090,0.043,0.7242
1786528218.697,0.000,WAIT,idle,2,1,6.828,6.100,-4.200,-0.073,0.097,0.022,0.7247
