t_wall,t_seq,state,stage,nav_state,armed,x,y,z,vx,vy,vz,heading
1786529159.319,0.000,WAIT,idle,-1,0,-3.228,-28.920,-4.343,-0.016,-0.002,0.160,1.2275
1786529159.418,0.000,WAIT,idle,2,1,-3.230,-28.925,-4.325,0.004,0.023,0.152,1.2275
1786529159.518,0.000,WAIT,idle,2,1,-3.233,-28.928,-4.311,-0.013,0.011,0.133,1.2279
1786529159.618,0.000,WAIT,idle,2,1,-3.237,-28.931,-4.297,-0.027,0.024,0.127,1.2273
1786529159.718,0.000,WAIT,idle,2,1,-3.243,-28.934,-4.285,-0.011,0.034,0.125,1.2253
1786529159.818,0.000,WAIT,idle,2,1,-3.249,-28.937,-4.272,-0.035,0.037,0.113,1.2263
1786529159.918,0.000,WAIT,idle,2,1,-3.256,-28.940,-4.261,-0.036,0.019,0.098,1.2245
1786529160.018,0.000,WAIT,idle,2,1,-3.260,-28.942,-4.250,-0.015,0.063,0.105,1.2244
1786529160.118,0.000,WAIT,idle,2,1,-3.265,-28.942,-4.239,-0.052,0.061,0.113,1.2270
1786529160.218,0.000,WAIT,idle,2,1,-3.273,-28.938,-4.223,-0.026,0.125,0.147,1.2254
1786529160.318,0.000,WAIT,idle,2,1,-3.279,-28.930,-4.206,-0.057,0.123,0.160,1.2224
1786529160.418,0.000,WAIT,idle,2,1,-3.285,-28.924,-4.191,-0.031,0.159,0.201,1.2180
1786529160.518,0.000,WAIT,idle,2,1,-3.286,-28.914,-4.168,0.007,0.163,0.221,1.2186
1786529160.618,0.000,WAIT,idle,2,1,-3.286,-28.903,-4.148,0.003,0.157,0.223,1.2228
1786529160.718,0.000,WAIT,idle,2,1,-3.281,-28.889,-4.123,-0.007,0.155,0.245,1.2258
1786529160.818,0.000,WAIT,idle,2,1,-3.276,-28.877,-4.099,-0.010,0.133,0.250,1.2241
1786529160.918,0.000,WAIT,idle,2,1,-3.267,-28.865,-4.073,0.008,0.164,0.229,1.2194
1786529161.018,0.000,WAIT,idle,2,1,-3.261,-28.854,-4.052,0.019,0.148,0.225,1.2167
1786529161.118,0.000,WAIT,idle,2,1,-3.255,-28.843,-4.030,0.026,0.134,0.218,1.2203
1786529161.218,0.000,WAIT,idle,2,1,-3.251,-28.831,-4.009,-0.017,0.132,0.207,1.2227
1786529161.318,0.000,WAIT,idle,2,1,-3.251,-28.819,-3.987,-0.008,0.098,0.211,1.2192
1786529161.418,0.000,WAIT,idle,2,1,-3.253,-28.814,-3.965,-0.049,0.051,0.207,1.2168
1786529161.518,0.000,WAIT,idle,2,1,-3.257,-28.810,-3.944,-0.023,0.030,0.209,1.2168
1786529161.618,0.000,WAIT,idle,2,1,-3.258,-28.806,-3.923,-0.034,0.038,0.200,1.2197
1786529161.718,0.000,WAIT,idle,2,1,-3.260,-28.805,-3.903,-0.061,0.007,0.182,1.2228
1786529161.818,0.000,WAIT,idle,2,1,-3.266,-28.806,-3.882,-0.055,-0.007,0.175,1.2258
1786529161.918,0.000,WAIT,idle,2,1,-3.273,-28.808,-3.863,-0.065,-0.045,0.168,1.2280
1786529162.018,0.000,WAIT,idle,2,1,-3.280,-28.814,-3.846,-0.056,-0.057,0.178,1.2265
1786529162.118,0.000,WAIT,idle,2,1,-3.290,-28.819,-3.829,-0.080,-0.041,0.144,1.2255
1786529162.218,0.000,WAIT,idle,2,1,-3.302,-28.822,-3.818,-0.092,-0.048,0.053,1.2243
1786529162.318,0.000,WAIT,idle,2,1,-3.313,-28.827,-3.818,-0.073,-0.053,-0.045,1.2230
1786529162.418,0.000,WAIT,idle,2,1,-3.324,-28.831,-3.822,-0.064,-0.008,-0.041,1.2234
1786529162.518,0.000,WAIT,idle,2,1,-3.334,-28.832,-3.826,-0.063,-0.029,-0.036,1.2229
1786529162.618,0.000,WAIT,idle,2,1,-3.340,-28.828,-3.829,-0.022,-0.022,-0.040,1.2248
1786529162.718,0.000,WAIT,idle,2,1,-3.344,-28.827,-3.832,0.006,-0.013,-0.026,1.2241
1786529162.818,0.000,WAIT,idle,2,1,-3.345,-28.823,-3.833,0.058,0.010,-0.006,1.2255
1786529162.918,0.000,WAIT,idle,2,1,-3.341,-28.818,-3.833,0.076,0.013,0.012,1.2273
1786529163.018,0.000,WAIT,idle,2,1,-3.336,-28.814,-3.831,0.109,0.028,0.026,1.2312
1786529163.118,0.000,WAIT,idle,2,1,-3.327,-28.806,-3.828,0.108,0.035,0.040,1.2344
1786529163.218,0.000,WAIT,idle,2,1,-3.321,-28.800,-3.824,0.077,0.010,0.026,1.2392
1786529163.318,0.000,WAIT,idle,2,1,-3.314,-28.796,-3.821,0.061,0.009,0.018,1.2353
1786529163.418,0.000,WAIT,idle,2,1,-3.309,-28.793,-3.820,0.031,-0.024,-0.000,1.2300
1786529163.518,0.000,WAIT,idle,2,1,-3.303,-28.793,-3.821,0.093,-0.006,-0.005,1.2266
1786529163.618,0.000,WAIT,idle,2,1,-3.293,-28.796,-3.823,0.083,-0.049,-0.034,1.2283
1786529163.718,0.000,WAIT,idle,2,1,-3.285,-28.799,-3.827,0.097,-0.038,-0.038,1.2302
1786529163.818,0.000,WAIT,idle,2,1,-3.280,-28.803,-3.831,0.109,-0.070,-0.046,1.2318
1786529163.918,0.000,WAIT,idle,2,1,-3.271,-28.810,-3.835,0.070,-0.085,-0.051,1.2305
1786529164.018,0.000,WAIT,idle,2,1,-3.262,-28.817,-3.839,0.083,-0.071,-0.029,1.2258
1786529164.118,0.000,WAIT,idle,2,1,-3.253,-28.825,-3.840,0.068,-0.088,-0.013,1.2204
1786529164.218,0.000,WAIT,idle,2,1,-3.246,-28.836,-3.839,0.097,-0.081,-0.002,1.2217
1786529164.318,0.000,WAIT,idle,2,1,-3.239,-28.844,-3.838,0.093,-0.075,0.004,1.2253
1786529164.418,0.000,WAIT,idle,2,1,-3.234,-28.855,-3.834,0.079,-0.069,0.026,1.2240
1786529164.518,0.000,WAIT,idle,2,1,-3.228,-28.862,-3.830,0.101,-0.055,0.031,1.2226
1786529164.618,0.000,WAIT,idle,2,1,-3.221,-28.870,-3.826,0.106,-0.044,0.025,1.2234
1786529164.718,0.000,WAIT,idle,2,1,-3.212,-28.876,-3.824,0.118,-0.008,0.014,1.2258
1786529164.818,0.000,WAIT,idle,2,1,-3.202,-28.883,-3.821,0.119,-0.024,0.005,1.2274
1786529164.918,0.000,WAIT,idle,2,1,-3.192,-28.886,-3.820,0.074,-0.015,-0.007,1.2293
1786529165.018,0.000,WAIT,idle,2,1,-3.180,-28.891,-3.819,0.094,-0.033,-0.023,1.2335
1786529165.119,0.000,WAIT,idle,2,1,-3.170,-28.894,-3.820,0.039,-0.007,-0.027,1.2362
1786529165.218,0.000,WAIT,idle,2,1,-3.169,-28.893,-3.822,-0.009,0.003,-0.046,1.2357
1786529165.318,0.000,WAIT,idle,2,1,-3.170,-28.893,-3.826,-0.046,0.006,-0.072,1.2354
1786529165.418,0.000,WAIT,idle,2,1,-3.172,-28.891,-3.833,-0.038,-0.001,-0.084,1.2325
1786529165.518,0.000,WAIT,idle,2,1,-3.176,-28.889,-3.839,-0.062,0.006,-0.072,1.2301
1786529165.618,0.000,WAIT,idle,2,1,-3.182,-28.881,-3.844,-0.070,0.043,-0.054,1.2292
1786529165.718,0.000,WAIT,idle,2,1,-3.186,-28.871,-3.847,-0.059,0.027,-0.036,1.2274
1786529165.818,0.000,WAIT,idle,2,1,-3.189,-28.861,-3.848,-0.058,0.032,-0.002,1.2251
1786529165.918,0.000,WAIT,idle,2,1,-3.189,-28.850,-3.847,-0.036,0.062,0.013,1.2226
1786529166.018,0.000,WAIT,idle,2,1,-3.192,-28.837,-3.846,-0.063,0.073,-0.002,1.2228
1786529166.118,0.000,WAIT,idle,2,1,-3.192,-28.825,-3.845,-0.036,0.078,-0.002,1.2221
1786529166.218,0.000,WAIT,idle,2,1,-3.192,-28.810,-3.845,-0.068,0.066,-0.019,1.2256
1786529166.318,0.000,WAIT,idle,2,1,-3.196,-28.798,-3.847,-0.088,0.060,-0.034,1.2290
